term,definition
candidate sampling,"A training-time optimization in which a probability is calculated for all thepositive labels, using, for example, softmax,but only for a randomsample of negative labels. For example, if we have an example labeledbeagle and dog candidate sampling computes the predicted probabilitiesand corresponding loss terms for the beagle and dog class outputsin addition to a random subset of the remaining classes(cat, lollipop, fence). The idea is that thenegative classes can learn from less frequentnegative reinforcement as long aspositive classes always get proper positivereinforcement, and this is indeed observed empirically. The motivation forcandidate sampling is a computational efficiency win from not computingpredictions for all negatives."
categorical data,"Features having a discrete set of possible values. For example,consider a categorical feature named house style, which has a discrete set ofthree possible values: Tudor, ranch, colonial. By representing house styleas categorical data, the model can learn the separate impacts of Tudor,ranch, and colonial on house price."
centroid,"The center of a cluster as determined by a k-means ork-median algorithm. For instance, if k is 3,then the k-means or k-median algorithm finds 3 centroids."
centroid-based clustering,A category of clustering algorithms that organizes datainto nonhierarchical clusters. k-means is the most widelyused centroid-based clustering algorithm.
checkpoint,"Data that captures the state of the variables of a model at a particulartime. Checkpoints enable exporting model weights, as wellas performing training across multiple sessions. Checkpoints also enabletraining to continue past errors (for example, job preemption). Note thatthe graph itself is not included in a checkpoint."
class,"One of a set of enumerated target values for a label. For example, in abinary classification model that detectsspam, the two classes are spam and not spam.  In amulti-class classification model thatidentifies dog breeds, the classes would be poodle, beagle, pug, and soon."
classification model,"A type of machine learning model for distinguishing among two or morediscrete classes. For example, a natural language processing classificationmodel could determine whether an input sentence was in French, Spanish,or Italian. Compare with regression model."
classification threshold,"A scalar-value criterion that is applied to a model's predicted score in orderto separate the positive class from the negativeclass.  Used when mappinglogistic regression results tobinary classification. For example, considera logistic regression model that determines the probability of a given emailmessage being spam. If the classification threshold is 0.9, then logisticregression values above 0.9 are classified as spam and those below0.9 are classified as not spam."
class-imbalanced dataset,"A binary classification problem in which thelabels for the two classes have significantly differentfrequencies.  For example, a disease dataset in which 0.0001 of exampleshave positive labels and 0.9999 have negative labels is a class-imbalancedproblem, but a football game predictor in which 0.51 of examples label oneteam winning and 0.49 label the other team winning is not aclass-imbalanced problem."
clipping,"A technique for handling outliers. Specifically, reducingfeature values that are greater than a set maximum value down to that maximumvalue. Also, increasing feature values that are less than a specific minimumvalue up to that minimum value."
Cloud TPU,A specialized hardware accelerator designed to speed up machinelearning workloads on Google Cloud Platform.
clustering,"Grouping related examples, particularly duringunsupervised learning. Once all theexamples are grouped, a human can optionally supply meaning to each cluster."
co-adaptation,"When neurons predict patterns in training data by relyingalmost exclusively on outputs of specific other neurons instead of relying onthe network's behavior as a whole. When the patterns that cause co-adaptionare not present in validation data, then co-adaptation causes overfitting.Dropout regularization reduces co-adaptationbecause dropout ensures neurons cannot rely solely on specific other neurons."
collaborative filtering,Making predictions about the interests of one userbased on the interests of many other users.  Collaborative filteringis often used in recommendation systems.
confirmation bias,"The tendency to search for, interpret, favor, and recall information in away that confirms one's preexisting beliefs or hypotheses.Machine learning developers may inadvertently collect or labeldata in ways that influence an outcome supporting their existingbeliefs.  Confirmation bias is a form of implicit bias."
confusion matrix,"An NxN table that summarizes how successful aclassification model's predictions were; that is,the correlation between the label and the model's classification. One axis ofa confusion matrix is the label that the model predicted, and theother axis is the actual label. N represents the number ofclasses. In a binary classificationproblem, N=2. "
continuous feature,A floating-point feature with an infinite range of possible values.Contrast with discrete feature.
convenience sampling,"Using a dataset not gathered scientifically in order to run quickexperiments. Later on, it's essential to switch to a scientifically gathereddataset."
convergence,"Informally, often refers to a state reached during trainingin which training loss and validation losschange very little or not at allwith each iteration after a certain number of iterations. In other words, amodel reaches convergence when additional training on the current data willnot improve the model. In deep learning, loss valuessometimes stay constant or nearly so for many iterations before finallydescending, temporarily producing a false sense of convergence."
convex function,A function in which the region above the graph of the function is aconvex set.  The prototypical convex function isshaped something like the letter U.  
convex optimization,The process of using mathematical techniques such asgradient descent to findthe minimum of a convex function.A great deal of research in machine learning has focused on formulating variousproblems as convex optimization problems and in solving those problems moreefficiently.
convex set,"A subset of Euclidean space such that a line drawn between any two points in thesubset remains completely within the subset.  For instance, the following twoshapes are convex sets:"
convolution,"In mathematics, casually speaking, a mixture of two functions. In machinelearning, a convolution mixes the convolutional filter and the input matrixin order to train weights."
convolutional filter,"One of the two actors in aconvolutional operation. (The other actoris a slice of an input matrix.) A convolutional filter is a matrix havingthe same rank as the input matrix, but a smaller shape.For example, given a 28x28 input matrix, the filter could be any 2D matrixsmaller than 28x28."
convolutional layer,"A layer of a deep neural network in which aconvolutional filter passes along an inputmatrix.  For example, consider the following 3x3convolutional filter:"
convolutional neural network,A neural network in which at least one layer is aconvolutional layer. A typical convolutionalneural network consists of some combination of the following layers:
cost,Synonym for loss.
counterfactual fairness,"A fairness metric that checks whether a classifier produces the same result for one individual as it does for another individual who is identical to the first, except with respect to one or more sensitive attributes. Evaluating a classifier for counterfactual fairness is one method for surfacing potential sources of bias in a model."
coverage bias,See selection bias.
crash blossom,"A sentence or phrase with an ambiguous meaning.Crash blossoms present a significant problem in naturallanguage understanding.For example, the headline Red Tape Holds Up Skyscraper is acrash blossom because an NLU model could interpret the headline literally orfiguratively."
critic,Synonym for Deep Q-Network.
cross-entropy,A generalization of Log Loss tomulti-class classification problems. Cross-entropyquantifies the difference between two probability distributions.  See alsoperplexity.
cross-validation,A mechanism for estimating how well a model will generalize to new data bytesting the model against one or more non-overlapping data subsets withheldfrom the training set.
custom Estimator,An Estimator that you write yourself by followingthese directions.
data analysis,"Obtaining an understanding of data by considering samples, measurement,and visualization. Data analysis can be particularly useful when adataset is first received, before one builds the first model. It isalso crucial in understanding experiments and debugging problems withthe system."
data augmentation,"Artificially boosting the range and number of training examplesby transforming existing examples to create additional examples. For example,suppose images are one of your features, but your dataset doesn't containenough image examples for the model to learn useful associations. Ideally,you'd add enough labeled images to your dataset to enable yourmodel to train properly. If that's not possible, data augmentation can rotate,stretch, and reflect each image to produce many variants of the originalpicture, possibly yielding enough labeled data to enable excellent training."
DataFrame,"A popular datatype for representing datasets in pandas. ADataFrame is analogous to a table. Each column of the DataFrame has a name (aheader), and each row is identified by a number."
data set or dataset,A collection of examples.
Dataset API (tf.data),"A high-level TensorFlow API for reading data andtransforming it into a form that a machine learning algorithm requires.A tf.data.Dataset object represents a sequence of elements, in whicheach element contains one or more Tensors. A tf.data.Iteratorobject provides access to the elements of a Dataset."
decision boundary,"The separator between classes learned by a model in abinary class ormulti-class classification problems. For example,in the following image representing a binary classification problem,the decision boundary is the frontier between the orange class andthe blue class:"
decision threshold,Synonym for classification threshold.
decision tree,"A model represented as a sequence of branching statements. For example, thefollowing over-simplified decision tree branches a few times topredict the price of a house (in thousands of USD).  According to thisdecision tree, a house larger than 160 square meters, having more than threebedrooms, and built less than 10 years ago would have a predicted price of510 thousand USD."
deep model,A type of neural network containing multiplehidden layers.
deep neural network,Synonym for deep model.
Deep Q-Network (DQN),"In Q-learning, a deep neural networkthat predicts Q-functions."
demographic parity,A fairness metric that is satisfied ifthe results of a model's classification are not dependent on agiven sensitive attribute.
dense feature,"A feature in which most values are non-zero, typicallya Tensor of floating-point values. Contrast withsparse feature."
dense layer,Synonym for fully connected layer.
depth,"The number of layers (including anyembedding layers) in a neural networkthat learn weights. For example, a neural network with 5hidden layers and 1 output layer has a depth of 6."
depthwise separable convolutional neural network (sepCNN),"A convolutional neural networkarchitecture based onInception,but where Inception modules are replaced with depthwise separableconvolutions.  Also known as Xception."
device,"A category of hardware that can run a TensorFlow session, includingCPUs, GPUs, and TPUs."
dimension reduction,"Decreasing the number of dimensions used to represent a particular feature ina feature vector, typically by converting to an embedding."
dimensions,"The number of levels of coordinates in a Tensor. For example:
A scalar has zero dimensions; for example, [""Hello""].
A vector has one dimension; for example, [3, 5, 7, 11].
A matrix has two dimensions; for example, [[2, 4, 18], [5, 7, 14]].
You can uniquely specify a particular cell in a one-dimensional vector with one coordinate; you need two coordinates to uniquely specify a particular cell in a two-dimensional matrix.
The number of entries in a feature vector.
The number of elements in an embedding layer."
discrete feature,"A feature with a finite set of possible values. For example,a feature whose values may only be animal, vegetable, or mineral is adiscrete (or categorical) feature. Contrast withcontinuous feature."
discriminative model,"A model that predicts labels from a set of one or morefeatures. More formally, discriminative models define the conditionalprobability of an output given the features and weights; that is:"
discriminator,A system that determines whether examples are real or fake.
disparate impact,Making decisions about people that impact different populationsubgroups disproportionately. This usually refers to situationswhere an algorithmic decision-making process harms or benefitssome subgroups more than others.
disparate treatment,Factoring subjects' sensitive attributesinto an algorithmic decision-making process such that different subgroupsof people are treated differently.
divisive clustering,See hierarchical clustering.
downsampling,"Reducing the amount of information in a feature in order to train a model more efficiently. For example, before training an image recognition model, downsampling high-resolution images to a lower-resolution format.
Training on a disproportionately low percentage of over-represented class examples in order to improve model training on under-represented classes. For example, in a class-imbalanced dataset, models tend to learn a lot about the majority class and not enough about the minority class. Downsampling helps balance the amount of training on the majority and minority classes."
DQN,Abbreviation for Deep Q-Network.
dropout regularization,"A form of regularization useful in trainingneural networks. Dropout regularization works byremoving a random selection of a fixed number of the units in a networklayer for a single gradient step. The more units dropped out, the strongerthe regularization. This is analogous to training the network to emulatean exponentially large ensemble of smaller networks. For full details, seeDropout: A Simple Way to Prevent Neural Networks fromOverfitting."
dynamic model,"A model that is trained online in a continuouslyupdating fashion.  That is, data is continuously entering the model."
eager execution,"A TensorFlow programming environment in which operationsrun immediately. By contrast, operations called ingraph execution don't run until they are explicitlyevaluated. Eager execution is animperative interface, muchlike the code in most programming languages. Eager execution programs aregenerally far easier to debug than graph execution programs."
early stopping,"A method for regularization that involves endingmodel training before training loss finishes decreasing. In earlystopping, you end model training when the loss on avalidation dataset starts to increase, that is, whengeneralization performance worsens."
embeddings,"A categorical feature represented as a continuous-valued feature.Typically, an embedding is a translation of a high-dimensional vectorinto a low-dimensional space. "
embedding space,"The d-dimensional vector space that features from a higher-dimensionalvector space are mapped to. Ideally, the embedding space contains astructure that yields meaningful mathematical results; for example,in an ideal embedding space, addition and subtraction of embeddingscan solve word analogy tasks."
empirical risk minimization (ERM),Choosing the function that minimizes loss on the training set. Contrastwith structural risk minimization.
ensemble,A merger of the predictions of multiple models. 
environment,"In reinforcement learning, the world that contains the agentand allows the agent to observe that world's state. For example,the represented world can be a game like chess, or a physical world like amaze. When the agent applies an action to the environment,then the environment transitions between states."
episode,"In reinforcement learning, each of the repeated attempts by theagent to learn an environment."
epoch,"A full training pass over the entire dataset such that each example has beenseen once.  Thus, an epoch represents N/batch size trainingiterations, where N is the total number of examples."
epsilon greedy policy,"In reinforcement learning, a policy that either follows arandom policy with epsilon probability or agreedy policy otherwise. For example, if epsilon is0.9, then the policy follows a random policy 90% of the time and a greedypolicy 10% of the time."
equality of opportunity,"A fairness metric that checks whether, for a preferred label (one that confers an advantage or benefit to a person) and a given attribute, a classifier predicts that preferred label equally well for all values of that attribute. In other words, equality of opportunity measures whether the people who should qualify for an opportunity are equally likely to do so regardless of their group membership."
equalized odds,"A fairness metric that checks if, for any particular label and attribute, a classifier predicts that label equally well for all values of that attribute."
Estimator,"An instance of the tf.Estimator class, which encapsulates logic that buildsa TensorFlow graph and runs a TensorFlow session. You may create your owncustom Estimators (as describedhere)or instantiate premade Estimators created byothers."
example,One row of a dataset. An example contains one or more featuresand possibly a label. See alsolabeled example andunlabeled example.
experience replay,"In reinforcement learning, a DQN technique used toreduce temporal correlations in training data. The agentstores state transitions in a replay buffer, and thensamples transitions from the replay buffer to create training data."
experimenter's bias,See confirmation bias.
exploding gradient problem,The tendency for gradients in adeep neural networks (especiallyrecurrent neural networks) to becomesurprisingly steep (high). Steep gradients result in very large updatesto the weights of each node in a deep neural network.
fairness constraint,Applying a constraint to an algorithm to ensure one or more definitions of fairness are satisfied. 
fairness metric,A mathematical definition of “fairness” that is measurable. 
false negative (FN),"An example in which the model mistakenly predicted thenegative class. For example, the modelinferred that a particular email message was not spam(the negative class), but that email message actually was spam."
false positive (FP),"An example in which the model mistakenly predicted thepositive class. For example, the model inferredthat a particular email message was spam (the positive class), but thatemail message was actually not spam."
false positive rate (FPR),The x-axis in an ROC curve. 
feature,An input variable used in making predictions.
Feature column (tf.feature_column),A function that specifies how a model should interpret a particular feature. Alist that collects the output returned by calls to such functions is a requiredparameter to all Estimators constructors.
feature cross,A synthetic feature formed by crossing (taking aCartesianproduct of) individual binary features obtained fromcategorical data or fromcontinuous features via bucketing.Feature crosses help represent nonlinear relationships.
feature engineering,"The process of determining which features might be usefulin training a model, and then converting raw data from log files and othersources into said features. In TensorFlow, feature engineering often meansconverting raw log file entries to tf.Exampleprotocol buffers.  See alsotf.Transform."
feature extraction,"Retrieving intermediate feature representations calculated by an unsupervised or pretrained model (for example, hidden layer values in a neural network) for use in another model as input.
Synonym for feature engineering."
feature set,"The group of features your machine learning model trains on.For example, postal code, property size, and property condition mightcomprise a simple feature set for a model that predicts housing prices."
feature spec,Describes the information required to extract features datafrom the tf.Example protocol buffer. 
feature vector,The list of feature values representing an examplepassed into a model.
federated learning,"A distributed machine learning approach that trainsmachine learning models using decentralizedexamples residing on devices such as smartphones.In federated learning, a subset of devices downloads the current modelfrom a central coordinating server. The devices use the examples storedon the devices to make improvements to the model. The devices then uploadthe model improvements (but not the training examples) to the coordinatingserver, where they are aggregated with other updates to yield an improvedglobal model. After the aggregation, the model updates computed by devicesare no longer needed, and can be discarded."
feedback loop,"In machine learning, a situation in which a model's predictions influence thetraining data for the same model or another model. For example, a model thatrecommends movies will influence the movies that people see, which will theninfluence subsequent movie recommendation models."
feedforward neural network (FFN),"A neural network without cyclic or recursive connections. For example,traditional deep neural networks arefeedforward neural networks. Contrast with recurrent neuralnetworks, which are cyclic."
few-shot learning,"A machine learning approach, often used for object classification,designed to learn effective classifiers from only a small number oftraining examples."
fine tuning,Perform a secondary optimization to adjust the parameters of an alreadytrained model to fit a new problem. Fine tuning oftenrefers to refitting the weights of a trainedunsupervised model to asupervised model.
forget gate,The portion of a Long Short-Term Memorycell that regulates the flow of information through the cell.Forget gates maintain context by deciding which information to discardfrom the cell state.
full softmax,See softmax. Contrast withcandidate sampling.
fully connected layer,A hidden layer in which each node isconnected to every node in the subsequent hidden layer.
GAN,Abbreviation for generative adversarialnetwork.
generalization,"Refers to your model's ability to make correct predictions on new,previously unseen data as opposed to the data used to train the model."
generalization curve,"A loss curve showing both thetraining set and thevalidation set.A generalization curve can help you detect possibleoverfitting.  For example, the followinggeneralization curve suggests overfitting because loss forthe validation set ultimately becomes significantly higherthan for the training set."
generalized linear model,"A generalization of least squares regressionmodels, which are based onGaussiannoise, to othertypes of models based on other types of noise, such asPoisson noiseorcategorical noise."
generative adversarial network (GAN),A system to create new data in which a generator createsdata and a discriminator determines whether thatcreated data is valid or invalid.
generative model,"A generative model can theoretically discern the distribution of examples or particular features in a dataset. That is:
p(examples)
Unsupervised learning models are generative."
generator,The subsystem within a generative adversarialnetworkthat creates new examples.
gradient,"The vector of partial derivatives with respect toall of the independent variables.  In machine learning, the gradient isthe vector of partial derivatives of the model function.  The gradient pointsin the direction of steepest ascent."
gradient clipping,A commonly used mechanism to mitigate theexploding gradient problem by artificiallylimiting (clipping) the maximum value of gradients when usinggradient descent to train a model.
gradient descent,"A technique to minimize loss by computing the gradients ofloss with respect to the model's parameters, conditioned on training data.Informally, gradient descent iteratively adjusts parameters, graduallyfinding the best combination of weights and bias tominimize loss."
graph,"In TensorFlow, a computation specification. Nodes in the graphrepresent operations. Edges are directed and represent passing the resultof an operation (a Tensor) as anoperand to another operation. UseTensorBoard to visualize a graph."
graph execution,A TensorFlow programming environment in which the program first constructsa graph and then executes all or part of that graph. Graphexecution is the default execution mode in TensorFlow 1.x.
greedy policy,"In reinforcement learning, a policy that always chooses theaction with the highest expected return."
ground truth,"The correct answer. Reality. Since reality is often subjective,expert raters typically are the proxy for ground truth."
group attribution bias,"Assuming that what is true for an individual is also true for everyonein that group. The effects of group attribution bias can be exacerbatedif a convenience samplingis used for data collection. In a non-representative sample, attributionsmay be made that do not reflect reality."
hashing,"In machine learning, a mechanism for bucketingcategorical data, particularly when the numberof categories is large, but the number of categories actually appearingin the dataset is comparatively small."
heuristic,"A quick solution to a problem, which may or may not be the best solution.For example, ""With a heuristic, we achieved 86% accuracy. When we switchedto a deep neural network, accuracy went up to 98%."""
hidden layer,"A synthetic layer in a neural network between theinput layer (that is, the features) and theoutput layer (the prediction). Hidden layers typicallycontain an activation function (such asReLU) for training.  A deep neuralnetwork contains more than onehidden layer."
hierarchical clustering,"A category of clustering algorithms that create a treeof clusters. Hierarchical clustering is well-suited to hierarchical data,such as botanical taxonomies. "
hinge loss,"A family of loss functions for classification designed to find the decision boundary as distant as possible from each training example, thus maximizing the margin between examples and the boundary. KSVMs use hinge loss (or a related function, such as squared hinge loss). "
holdout data,Examples intentionally not used ("held out") during training.The validation dataset andtest dataset are examples of holdout data. Holdout datahelps evaluate your model's ability to generalize to data other than thedata it was trained on. The loss on the holdout set provides a betterestimate of the loss on an unseen dataset than does the loss on thetraining set.
hyperparameter,"The ""knobs"" that youtweak during successive runs of training a model. For example,learning rate is a hyperparameter."
hyperplane,"A boundary that separates a space into two subspaces.  For example, a line is ahyperplane in two dimensions and a plane is a hyperplane in three dimensions.More typically in machine learning, a hyperplane is the boundary separating ahigh-dimensional space.  Kernel Support Vector Machines usehyperplanes to separate positive classes from negative classes, often in a veryhigh-dimensional space."
i.i.d.,Abbreviation for independently and identically distributed.
image recognition,"A process that classifies object(s), pattern(s), or concept(s) in an image.Image recognition is also known as image classification."
imbalanced dataset,Synonym for class-imbalanced dataset.
implicit bias,Automatically making an association or assumption based on one’s mentalmodels and memories. 
incompatibility of fairness metrics,"The idea that some notions of fairness are mutually incompatible andcannot be satisfied simultaneously. As a result, there is no singleuniversal metric for quantifying fairnessthat can be applied to all ML problems."
independently and identically distributed (i.i.d),"Data drawn from a distribution that doesn't change, and where each valuedrawn doesn't depend on values that have been drawn previously. An i.i.d.is the ideal gasof machinelearning—a useful mathematical construct but almost never exactly foundin the real world. For example, the distribution of visitors to a web pagemay be i.i.d. over a brief window of time; that is, the distribution doesn'tchange during that brief window and one person's visit is generallyindependent of another's visit. However, if you expand that window of time,seasonal differences in the web page's visitors may appear."
individual fairness,"A fairness metric that checks whether similar individuals are classifiedsimilarly. For example, Brobdingnagian Academy might want to satisfyindividual fairness by ensuring that two students with identical gradesand standardized test scores are equally likely to gain admission."
inference,"In machine learning, often refers to the process of making predictions byapplying the trained model to unlabeled examples.In statistics, inference refers to the process of fitting the parametersof a distribution conditioned on some observed data. (See theWikipedia article on statistical inference.)"
in-group bias,"Showing partiality to one's own group or own characteristics.If testers or raters consist of the machine learning developer's friends,family, or colleagues, then in-group bias may invalidate product testingor the dataset."
input function,"In TensorFlow, a function that returns input data to the training, evaluation,or prediction method of an Estimator.  For example,the training input function returns a batch of featuresand labels from the training set."
input layer,The first layer (the one that receives the input data) ina neural network.
instance,Synonym for example.
interpretability,"The degree to which a model's predictions can be readily explained. Deep modelsare often non-interpretable; that is, a deep model's different layers can behard to decipher. By contrast, linear regression models and widemodels are typically far more interpretable."
inter-rater agreement,"A measurement of how often human raters agree when doing a task.If raters disagree, the task instructions may need to be improved.Also sometimes called inter-annotator agreement orinter-rater reliability.  See alsoCohen'skappa,which is one of the most popular inter-rater agreement measurements."
intersection over union (IoU),"The intersection of two sets divided by their union. In machine-learningimage-detection tasks, IoU is used to measure the accuracy of the model’spredicted bounding box with respect to theground-truth bounding box. In this case, the IoU for thetwo boxes is the ratio between the overlapping area and the total area, andits value ranges from 0 (no overlap of predicted bounding box and ground-truthbounding box) to 1 (predicted bounding box and ground-truth bounding box havethe exact same coordinates)."
IoU,Abbreviation for intersection over union.
item matrix,"In recommendation systems, amatrix of embeddings generated bymatrix factorizationthat holds latent signals about each item.Each row of the item matrix holds the value of a single latentfeature for all items.For example, consider a movie recommendation system. Each columnin the item matrix represents a single movie. The latent signalsmight represent genres, or might be harder-to-interpretsignals that involve complex interactions among genre, stars,movie age, or other factors."
items,"In a recommendation system, the entities thata system recommends. For example, videos are the items that a video storerecommends, while books are the items that a bookstore recommends."
iteration,A single update of a model's weights during training.  An iterationconsists of computing the gradients of the parameters with respect to theloss on a single batch of data.
Keras,"A popular Python machine learning API.Kerasruns onseveral deep learning frameworks, including TensorFlow, where it is madeavailable astf.keras."
keypoints,"The coordinates of particular features in an image. For example, for animage recognition model that distinguishesflower species, keypoints might be the center of each petal, the stem,the stamen, and so on."
Kernel Support Vector Machines (KSVMs),"A classification algorithm that seeks to maximize the margin betweenpositive andnegative classes by mapping input data vectorsto a higher dimensional space.  For example, consider a classificationproblem in which the input datasethas a hundred features. To maximize the margin betweenpositive and negative classes, a KSVM could internally map those features intoa million-dimension space.  KSVMs uses a loss function calledhinge loss."
k-means,A popular clustering algorithm that groups examplesin unsupervised learning. 
k-median,A clustering algorithm closely related to k-means. 
L1 loss,Loss function based on the absolute value of the differencebetween the values that a model is predicting and the actual values ofthe labels. L1 loss is less sensitive to outliersthan L2 loss.
L1 regularization,"A type of regularization that penalizes weightsin proportion to the sum of the absolute values of the weights. In modelsrelying on sparse features, L1regularization helps drive the weights of irrelevant or barely relevantfeatures to exactly 0, which removes those features from the model.Contrast with L2 regularization."
L2 loss,See squared loss.
L2 regularization,A type of regularization that penalizes weightsin proportion to the sum of the squares of the weights.L2 regularization helps drive outlier weights (those withhigh positive or low negative values) closer to 0 but not quite to 0.(Contrast with L1 regularization.)L2 regularization always improves generalization in linear models.
label,"In supervised learning, the ""answer"" or ""result"" portion of anexample. Each example in a labeled dataset consists of one ormore features and a label. For instance, in a housing dataset, the featuresmight include the number of bedrooms, the number of bathrooms, and the ageof the house, while the label might be the house's price.In a spam detection dataset, the features might include the subject line, thesender, and the email message itself, while the label would probably be either""spam"" or ""not spam."""
labeled example,"An example that contains features and alabel. In supervised training, models learn from labeledexamples."
lambda,Synonym for regularization rate.
landmarks,Synonym for keypoints.
layer,"A set of neurons in aneural network that process a set of inputfeatures, or the output of those neurons."
Layers API (tf.layers),A TensorFlow API for constructing a deep neural networkas a composition of layers. 
learning rate,"A scalar used to train a model via gradient descent. During each iteration,the gradient descent algorithm multiplies thelearning rate by the gradient.  The resulting product is called thegradient step."
least squares regression,A linear regression model trained by minimizingL2 Loss.
linear model,"A model that assigns one weight perfeature to make predictions.(Linear models also incorporate a bias.) By contrast,the relationship of weights to features in  deep modelsis not one-to-one."
linear regression,"Using the raw output (y') of a linear model as theactual prediction in a regression model. The goal ofa regression problem is to make a real-valued prediction. For example, ifthe raw output (y') of a linear model is 8.37, then the prediction is8.37."
logistic regression,A classification model that uses asigmoid function to converta linear model's raw prediction (\(y'\)) into avalue between 0 and 1. 
